WSJ1829:0	[Silicon Valley] :[/LOCATION] heaved a sigh of relief yesterday .
WSJ1690:11	In a letter to Mr. [Bennett] :[/PERSON] 's office , released yesterday , [Washington] :[/GPE,/GPE/CITY] 's city administrator , [Carol Thompson] :[/LOCATION] , complained that the drug czar had exaggerated the amount of federal drug-related assistance provided to the capital .

WSJ1690:12	Referring to Mr. [Bennett] :[/PERSON] 's claim that the federal government would provide $ 97 million in emergency federal support , Ms. [Thompson] :[/PERSON] wrote , `` Our analysis was unable to even come close to documenting that figure . ''

WSJ1690:13	Of his successes in [Washington] :[/GPE,/GPE/CITY] , Mr. [Bennett] :[/PERSON] stressed that existing federal prisons have taken custody of 375 local inmates .

WSJ1690:14	He also noted that the federal [Drug Enforcement Administration] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] has established a federal-local task force responsible since April for 106 arrests and more than $ 2 million in seizures of [drug] :[/SUBSTANCE] dealers ' assets .

WSJ1690:15	The [Defense Department] :[/ORGANIZATION] has lent the [Washington] :[/GPE,/GPE/CITY] [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] attorney 10 prosecutors , and the [Federal Bureau of Investigation] :[/ORGANIZATION] has provided crime laboratory facilities and training , he added .

WSJ1400:0	[CRI Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it reduced the estimated cash distribution for its [Capital Housing and Mortgage Partners Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] trust to between 71 cents and 74 cents a share , from between 75 cents and 80 cents , for the year ending June 9 , 1990 .

WSJ1400:1	The change in expected cash distributions from the Champs real estate investment trust stems from a revised estimate of administrative costs , said [Jay R. Cohen] :[/PERSON] , [Champs] :[/SUBSTANCE/FOOD,/SUBSTANCE] executive vice president .

WSJ1400:2	[CRI] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which sponsors [Champs] :[/SUBSTANCE/FOOD,/SUBSTANCE] , is a world-wide real estate investment firm .

WSJ1401:0	.

WSJ1401:1	The figure was incorrectly shown as a net loss in a chart accompanying Friday 's [Heard on the Street] :[/WORK_OF_ART] column .

WSJ1407:0	A former [Sperry Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] marketing executive , admitting his role in the [Pentagon] :[/FACILITY] procurement scandal , pleaded guilty to bribery and conspiracy charges for helping funnel $ 400,000 to a midlevel [Navy] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] acquisition official during the early 1980s .

WSJ1407:1	[Frank Lavelle] :[/PERSON] , who at the time was the marketing director for [Sperry] :[/ORGANIZATION] in [Clearwater] :[/GPE,/GPE/CITY] , [Fla.] :[/GPE,/GPE/CITY] , admitted participating in a scheme to bribe [Garland Tomlin] :[/PERSON] , the [Navy] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] official .

WSJ1407:2	Mr. [Tomlin] :[/PERSON] , who left the [Navy] :[/ORGANIZATION] in 1985 , pleaded guilty earlier this year to related conspiracy , bribery and tax-evasion charges .

WSJ1407:3	The bribery scheme took place between 1982 and 1985 , according to documents filed by prosecutors in connection with Mr. [Lavelle] :[/PERSON] 's guilty plea in federal district court in [Alexandria] :[/GPE,/GPE/CITY] , [Va] :[/GPE,/GPE/CITY] .

WSJ1407:4	[Sperry] :[/ORGANIZATION] merged with [Burroughs Corp.] :[/ORGANIZATION] to become [Unisys Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] in late 1986 .

WSJ1407:5	Court documents filed by prosecutors indicate Mr. [Tomlin] :[/PERSON] tried to steer to [Sperry] :[/ORGANIZATION] a multimillion dollar contract to computerize maintenance of certain [Navy] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] electronics equiment .

WSJ1407:6	Mr. [Tomlin] :[/PERSON] , among other things , illegally provided Mr. [Lavelle] :[/PERSON] with inside information and documents intended to give [Sperry] :[/ORGANIZATION] an unfair advantage in the competition , the documents said .

WSJ1407:7	[Sperry] :[/ORGANIZATION] ultimately was eliminated from the competition without receiving the work .

WSJ1407:8	Documents filed by prosecutors also indicate that Mr. [Lavelle] :[/PERSON] and his fellow conspirators requested and obtained `` approval of the scheme '' from more-senior [Sperry] :[/ORGANIZATION] officials `` because the payment which { Mr . } [Tomlin] :[/PERSON] requested was so large . ''

WSJ1407:9	[Charles Gardner] :[/PERSON] , a former [Unisys] :[/ORGANIZATION] vice president , and [James Neal] :[/PERSON] , a former company consultant , have admitted participating in this and other bribery schemes .

WSJ1407:10	[Unisys] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has said that all of the company officials who participated in improper activities have left the company .

WSJ1407:11	Mr. [Lavelle] :[/PERSON] faces a maximum of 20 years in jail and a $ 500,000 fine .

WSJ1408:0	The [New York Stock Exchange] :[/ORGANIZATION] said a seat was sold for $ 500,000 , unchanged from the sale Thursday .

WSJ1421:0	[Japan] :[/GPE/COUNTRY,/GPE] 's [Finance Ministry] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] strongly denied playing any role in the [New York] :[/GPE] stock-price free fall .

WSJ1421:1	[Makoto Utsumi] :[/PERSON] , vice minister for international affairs , said the ministry did n't in any way suggest to Japanese banks that they stay out of the [UAL Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] leveraged buy-out .

WSJ1421:2	The ministry has never even suggested that Japanese banks be cautious about leveraged buy-outs in general , Mr. [Utsumi] :[/PERSON] said .

WSJ1421:4	The comments were the ministry 's first detailed public statement on the subject , and reflect the ministry 's concern that foreigners will think [Japan] :[/GPE/COUNTRY,/GPE] is using its tremendous financial power to control events in foreign markets .

WSJ1421:5	A number of accounts of the events leading to the 190 point drop in [New York] :[/GPE,/GPE/CITY] stock prices on Oct. 13 accused the ministry of pulling the plug on the [UAL] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] deal for one reason or another .

WSJ1421:6	Mr. [Utsumi] :[/PERSON] said the most the ministry had ever done was ask Japanese banks about `` the status of their participation '' in one previous [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] leveraged buy-out .

WSJ1421:7	The ministry inquired about that deal -- which Mr. [Utsumi] :[/PERSON] declined to identify -- because the large presence of Japanese banks in the deal was `` being strongly criticized in the [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] [Congress] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] '' and it was `` necessary for us to grasp the situation . ''

WSJ1421:9	Mr. [Utsumi] :[/PERSON] also said some Japanese banks were willing to participate in the [UAL] :[/ORGANIZATION] financing up to the very end , which would suggest at the very least that they were n't under orders to back out .

WSJ1421:10	In general , Mr. [Utsumi] :[/PERSON] said , Japanese banks are becoming more `` independent '' in their approach to overseas deals .

WSJ1421:14	[Sanwa Bank Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] is one Japanese bank that decided not to participate in the first [UAL] :[/ORGANIZATION] proposal .

WSJ1421:15	A [Sanwa Bank] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] spokesman denied that the finance ministry played any part in the bank 's decision .

WSJ1421:17	Still , Mr. [Utsumi] :[/PERSON] may have a hard time convincing market analysts who have rightly or wrongly believed that the ministry played a role in orchestrating recent moves by Japanese banks .

WSJ1421:18	All week there has been much speculation in financial circles in [Tokyo] :[/GPE,/GPE/CITY] and abroad about the ministry 's real position .

WSJ1421:22	Although some of the Japanese banks involved in the first proposed bid for [UAL] :[/ORGANIZATION] bowed out because they found the terms unattractive , observers here say they have a hard time believing that commercial considerations were the only reason .

WSJ1421:26	At a news conference this week , [Bank of Japan] :[/ORGANIZATION] Gov . [Satoshi Sumita] :[/PERSON] cautioned banks to take a `` prudent '' stance regarding highly leveraged deals .

WSJ1421:27	Despite Mr. [Sumita] :[/PERSON] 's statements , it is the [Finance Ministry] :[/ORGANIZATION] , not the central bank , that makes policy decisions .

WSJ1421:29	Despite the risks , the deals can be an attractive way for Japanese banks to increase their presence in the [U.S.] :[/GPE] market , bank analysts say .

WSJ0682:0	Federal investigators have identified the problem in last July 's crash of a [United Airlines] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] flight in [Iowa] :[/GPE] : a structural flaw that developed during the making of a titanium engine disk .

WSJ0682:1	For several months , officials at the [Federal Aviation Administration] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and the [National Transportation Safety Board] :[/ORGANIZATION] have suspected that a metallurgical flaw in the disk led to a crack that ultimately caused the tail engine to break apart in flight .

WSJ0682:2	The explosion sent shards of metal flying , severing the [DC-10] :[/ORGANIZATION] 's hydraulic or control systems , and led to the crash that killed 112 people .

WSJ0682:3	But investigators could confirm their theory only after the recent retrieval of a big chunk of [Flight 232] :[/PRODUCT,/PRODUCT/VEHICLE] 's tail engine from a cornfield near the [Sioux City Airport] in [Iowa] :[/GPE] .

WSJ0682:4	The safety board will begin four days of hearings on the accident tomorrow in [Sioux City] :[/GPE,/GPE/CITY] .

WSJ0682:5	Among the issues the board will examine is whether [United Airlines] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a unit of [UAL Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , should have been able to detect the cracks through maintenance checks .

WSJ0682:6	The engine involved was a [CF6-6] :[/SUBSTANCE] made by [General Electric Co .] :[/ORGANIZATION/CORPORATION,/ORGANIZATION]

WSJ0682:7	[Anthony Broderick] :[/PERSON] , the [FAA] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's acting executive director for regulatory standards and compliance , said that recent tests of the failed engine disk indicate that a flaw -- known as `` hard alpha '' -- occurred in the titanium during its production almost 20 years ago .

WSJ0682:9	The [FAA] :[/ORGANIZATION] already has ordered that all 232 disks made by the old process be removed from the planes and subjected to an ultrasonic test in a water-submersion chamber .

WSJ0682:10	[FAA] :[/ORGANIZATION] confident that a Sioux City-type accident `` wo n't happen again , '' said Mr. [Broderick] :[/PERSON] .

WSJ0682:11	A spokesman for [GE] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said that the company has been working with the [FAA] :[/ORGANIZATION] all along on this issue and `` will comply fully with the required inspections . ''

WSJ0682:12	But he also pointed out that the recalls will have no impact on [GE] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's engine production .

WSJ0682:13	The [CF6-6] :[/SUBSTANCE/FOOD,/SUBSTANCE] series engines are n't being manufactured any more ; they are only being used in the [DC-10 Series 10] :[/EVENT] planes currently in service , he said .

WSJ0685:0	[CNW Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said the final step in the acquisition of the company has been completed with the merger of [CNW] :[/ORGANIZATION] with a subsidiary of Chicago & amp ; North Western Holdings Corp .

WSJ0685:1	As reported , [CNW] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] agreed to be acquired by a group of investors led by [Blackstone Capital Partners Limited Partnership] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] for $ 50 a share , or about $ 950 million .

WSJ0481:0	The [New York Times Co.] :[/ORGANIZATION] said it reached a settlement with independent home delivery dealers in the metropolitan [New York] :[/GPE] area that will free the newspaper to expand home delivery circulation .

WSJ0481:1	The settlement stemmed from a lawsuit the dealers filed in 1982 when the [Times] :[/WORK_OF_ART] began its own competing direct delivery service .

WSJ0481:2	The pact calls for the Times to pay dealers $ 3.6 million over six years , as well as other payments in the form of subsidies over three years , based on the number of `` new customers started by the dealers and on pricing structures , '' the [Times] :[/ORGANIZATION/MUSEUM,/GPE/COUNTRY,/GPE,/SUBSTANCE/DRUG,/LOCATION/CONTINENT,/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/ORGANIZATION/HOSPITAL,/LANGUAGE,/FACILITY/HIGHWAY_STREET,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/LOCATION/RIVER,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/EVENT/WAR,/DISEASE,/PERSON,/FACILITY/BUILDING,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/SUBSTANCE/CHEMICAL,/FACILITY/ATTRACTION,/GPE/STATE_PROVINCE,/PRODUCT/VEHICLE,/ORGANIZATION/POLITICAL,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG,/EVENT/HURRICANE] said .

WSJ0481:4	The settlement , which involves most of the 300 independent newspaper dealers in the [New York] :[/GPE] area , will allow the [Times] :[/WORK_OF_ART] to freely operate its own direct home delivery system .

WSJ0481:5	Home delivery is the fastest growing segment of the [Times] :[/WORK_OF_ART,/WORK_OF_ART/BOOK] 's 1.1 million daily circulation .

WSJ0481:6	Currently , about 60 % of home delivery subscribers in the [New York] :[/GPE] area receive the paper directly from the [Times] :[/WORK_OF_ART] .

WSJ0484:0	[Giant Group] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said a federal court in [Delaware] :[/GPE,/GPE/STATE_PROVINCE] has denied a motion by [Rally 's Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] seeking to block a group led by [Giant] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] Chairman [Burt Sugarman] :[/PERSON] from acquiring more of the company 's shares .

WSJ0484:1	[Rally 's] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a fast-food chain based in [Louisville] :[/GPE,/GPE/CITY] , [Ky.] :[/GPE,/GPE/CITY] , is contending that Mr. [Sugarman] :[/GPE/COUNTRY,/GPE] and two other company directors failed to disclose to the [Securities and Exchange Commission] :[/ORGANIZATION] that they intended to acquire a big [Rally] :[/PERSON] stake .

WSJ0484:2	Mr. [Sugarman] :[/PERSON] has in turn contended that the other major shareholder group -- whose interests are represented by three other directors connected to trusts in the name of the children of the company 's founder , [James Patterson] :[/PERSON] -- has ties to a competing fast food chain , [Wendy 's International Inc .] :[/ORGANIZATION/CORPORATION,/ORGANIZATION]

WSJ0484:4	Each group controls more than 40 % of [Rally 's] :[/ORGANIZATION] stock .

WSJ0484:6	[Rally 's] :[/PERSON] had no comment , but was expected to make an announcement this morning about the situation .

WSJ0487:0	[Vitro S.A.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] of [Monterrey] :[/GPE] , [Mexico] :[/GPE] , said its [THR Corp.] :[/ORGANIZATION] subsidiary has entered into definitive loan agreements in connection with [Vitro] :[/ORGANIZATION] 's $ 21.25-a-share tender offer for [Anchor Glass Container Corp] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ0487:1	[Security Pacific National Bank] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and an affiliate of Donaldson , Lufkin & amp ; Jenrette Securities Corp .

WSJ0487:2	Proceeds of the loan agreement , together with funds from [Vitro] :[/ORGANIZATION] , will permit the purchase of all shares outstanding of [Anchor] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and the payment of all related costs and expenses .

WSJ0487:3	[Vitro] :[/ORGANIZATION] said the definitive agreements require that [Anchor] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] obtain a waiver from its bank lenders of existing covenant defaults under its bank facilities .

WSJ0487:4	Since [Anchor] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] is still seeking this waiver , [Vitro] :[/ORGANIZATION] said the tender offer is being extended until 5 p.m. EST tomorrow .

WSJ0490:1	As the country 's new leader , [Egon Krenz] :[/PERSON] , prepared to travel to [Moscow] :[/GPE,/GPE/CITY] today for talks with Soviet leader [Gorbachev] :[/PERSON] , hundreds of thousands of East Germans massed in the streets of [Leipzig] :[/LOCATION] , [Halle] :[/PERSON] and [Schwerin] :[/PERSON] to call for internal freedoms and the legalization of the [New Forum] :[/ORGANIZATION] opposition group .

WSJ0490:2	[Krenz] :[/PERSON] , however , vowed to preserve the [Communist Party] :[/ORGANIZATION] 's hold on political power and said East Germans should n't destabilize the nation with unrealistic demands .

WSJ0490:4	Soviet police clashed with demonstrators in [Moscow] :[/GPE,/GPE/CITY] following a candlelight vigil around the [KGB] :[/ORGANIZATION] 's [Lubyanka] headquarters in memory of those persecuted under [Stalin] :[/GPE] .

WSJ0490:6	A splinter group demonstrated in [Pushkin Square] , where the police clubbed and detained a number of protesters .

WSJ0490:7	Police in [Yugoslavia] :[/GPE] dispersed about 1,000 ethnic Albanians who were protesting the trial of the former [Communist Party] :[/ORGANIZATION] chief of the southern province of [Kosovo] :[/GPE/COUNTRY,/GPE] .

WSJ0490:8	[Azem Vlasi] :[/ORGANIZATION] and 14 others are accused of inciting riots and strikes and opposing constitutional limits to [Kosovo] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's autonomy .
